,Time,Indus_levels,Indus_Inflow,Indus_Outflow,Kabul_Inflow,Jhelum_levels,Jhelum_Inflow,Jhelum_Outflow,Chenab_Inflow,System_Inflow_now,System_Inflow_past,System_Inflow_avg
172,27/May ,1400.45 ,50.2 ,60.0 ,26.2 ,1106.25 ,42.5 ,58.0 ,25.1 ,144.0 ,249.1 ,242.1 
173,26/May ,1402.55 ,51.0 ,60.0 ,31.1 ,1108.10 ,45.3 ,58.0 ,25.0 ,152.4 ,231.8 ,243.0 
174,25/May ,1403.52 ,62.2 ,60.0 ,36.1 ,1109.60 ,46.9 ,58.0 ,26.4 ,171.6 ,217.5 ,239.1 
175,24/May ,1403.38 ,70.1 ,60.0 ,37.3 ,1110.70 ,51.3 ,58.0 ,30.6 ,189.3 ,214.0 ,237.5 
176,23/May ,1402.45 ,56.2 ,70.0 ,36.2 ,1111.30 ,53.6 ,58.0 ,28.8 ,174.8 ,193.6 ,235.6 
177,22/May ,1403.89 ,56.1 ,70.0 ,39.5 ,1111.70 ,56.5 ,58.0 ,25.4 ,177.5 ,158.5 ,238.5 
178,21/May ,1405.34 ,55.8 ,70.0 ,42.5 ,1111.80 ,51.5 ,58.0 ,22.7 ,172.5 ,163.8 ,241.9 
179,20/May ,1406.82 ,59.2 ,65.0 ,38.0 ,1112.40 ,50.0 ,58.0 ,22.2 ,169.4 ,178.9 ,242.9 
180,19/May ,1407.46 ,55.6 ,65.0 ,38.0 ,1113.15 ,52.6 ,58.0 ,22.2 ,168.4 ,192.8 ,238.3 
181,18/May ,1408.46  ,56.3 ,60.0 ,41.3 ,1113.70 ,48.0 ,50.0 ,22.1 ,167.7 ,201.3 ,221.2 
182,17/May ,1408.90 ,60.4 ,65.0 ,41.9 ,1113.95 ,49.1 ,50.0 ,24.2 ,175.6 ,225.3 ,207.4 
183,16/May ,1409.44 ,65.6 ,65.0 ,43.2 ,1114.05 ,52.0 ,50.0 ,31.0 ,191.8 ,274.6 ,206.8 
184,15/May ,1409.44 ,66.0 ,65.0 ,45.6 ,1113.90 ,53.3 ,50.0 ,31.0 ,195.9 ,238.9 ,210.4 
185,14/May ,1409.42 ,67.9 ,65.0 ,46.4 ,1113.75 ,60.9 ,50.0 ,24.4 ,199.6 ,197.8 ,223.8 
186,13/May ,1409.21 ,68.5 ,65.0 ,49.7 ,1112.80 ,59.6 ,50.0 ,23.6 ,201.4 ,195.0 ,220.2 
187,12/May ,1408.94 ,70.3 ,65.0 ,49.6 ,1111.90 ,62.0 ,50.0 ,23.6 ,205.5 ,191.6 ,204.8 
188,11/May ,1408.49 ,65.4 ,60.0 ,43.5 ,1110.75 ,57.2 ,50.0 ,22.5 ,188.6 ,188.6 ,198.6 
189,10/May ,1408.03 ,59.6 ,55.0 ,42.8 ,1110.10 ,52.6 ,50.0 ,23.6 ,178.6 ,183.1 ,192.9 
190,9/May ,1407.65 ,60.1 ,45.0 ,37.7 ,1109.85 ,53.9 ,50.0 ,22.6 ,174.3 ,186.0 ,190.0 
191,8/May ,1406.23 ,64.3 ,45.0 ,51.0 ,1109.40 ,55.2 ,50.0 ,22.6 ,193.1 ,185.7 ,182.3 
192,7/May ,1404.40 ,65.8 ,45.0 ,55.0 ,1108.80 ,59.2 ,50.0 ,23.1 ,203.1 ,184.5 ,176.8 
193,6/May ,1402.42 ,66.2 ,45.0 ,48.2 ,1107.65 ,60.7 ,50.0 ,22.1 ,197.2 ,184.9 ,171.5 
194,5/May ,1400.40 ,53.1 ,45.0 ,38.9 ,1106.30 ,57.6 ,50.0 ,18.1 ,167.7 ,214.8 ,167.7 
195,4/May ,1399.23 ,43.9 ,45.0 ,38.6 ,1105.30 ,57.0 ,50.0 ,18.1 ,157.6 ,221.6 ,164.9 
196,3-May ,1399.69 ,39.6 ,40.0 ,35.5 ,1104.40 ,52.3 ,50.0 ,18.1 ,145.5 ,199.9 ,160.5 
197,2-May ,1399.98 ,36.5 ,35.0 ,33.2 ,1104.10 ,51.2 ,55.0 ,16.7 ,137.6 ,192.2 ,163.0 
198,1-May ,1399.82 ,32.9 ,30.0 ,28.5 ,1104.55 ,49.2 ,55.0 ,17.9 ,128.5 ,188.7 ,164.3 
199,30-Apr ,1399.31 ,30.5 ,30.0 ,25.5 ,1105.25 ,48.8 ,55.0 ,16.6 ,121.4 ,184.1 ,163.4 
200,29-Apr ,1399.37 ,30.7 ,30.0 ,22.7 ,1106.00 ,47.6 ,55.0 ,15.8 ,116.8 ,170.6 ,161.2 
201,28-Apr ,1399.40 ,28.7 ,30.0 ,18.5 ,1106.90 ,47.6 ,55.0 ,15.4 ,110.2 ,167.1 ,163.1 
202,27-Apr ,1399.91 ,13.1 ,42.0 ,14.0 ,1107.80 ,45.8 ,60.0 ,13.2 ,86.1 ,153.9 ,162.8 
203,26-Apr ,1402.91 ,15.0 ,42.0 ,14.2 ,1109.55 ,40.7 ,63.0 ,20.7 ,90.6 ,144.8 ,156.4 
204,25-Apr ,1405.67 ,23.9 ,35.0 ,13.0 ,1111.60 ,44.1 ,63.0 ,23.8 ,104.8 ,143.7 ,157.4 
205,24-Apr ,1406.85 ,25.4 ,35.0 ,17.4 ,1113.25 ,52.1 ,63.0 ,19.2 ,114.1 ,137.4 ,158.0 
206,23-Apr ,1407.88 ,27.3 ,35.0 ,17.9 ,1114.20 ,41.3 ,63.0 ,17.4 ,103.9 ,138.3 ,165.9 
207,22-Apr ,1408.72 ,23.7 ,32.0 ,21.6 ,1116.10 ,42.4 ,63.0 ,17.8 ,105.5 ,148.4 ,169.2 
208,21-Apr ,1409.62 ,25.2 ,25.0 ,23.0 ,1117.90 ,44.7 ,63.0 ,17.7 ,110.6 ,163.7 ,163.5 
209,20-Apr ,1409.68 ,29.4 ,12.0 ,25.9 ,1119.50 ,48.6 ,55.0 ,17.6 ,121.5 ,182.9 ,162.4 
210,19-Apr ,1408.03 ,30.9 ,12.0 ,27.9 ,1120.05 ,52.1 ,55.0 ,18.8 ,129.7 ,191.7 ,166.7 
211,18-Apr ,1406.23 ,27.2 ,26.4 ,25.0 ,1120.25 ,42.2 ,55.0 ,21.9 ,116.3 ,191.4 ,163.5 
212,17-Apr ,1406.23 ,23.1 ,30.0 ,20.7 ,1121.15 ,32.9 ,55.0 ,12.5 ,89.2 ,233.5 ,139.7 
213,16-Apr ,1406.99 ,21.7 ,32.2 ,12.9 ,1122.70 ,32.9 ,55.0 ,12.5 ,80.0 ,230.3 ,130.7 
214,15-Apr ,1408.09 ,22.2 ,32.0 ,8.3 ,1124.25 ,35.7 ,55.0 ,9.3 ,75.5 ,135.9 ,130.6 
215,14-Apr ,1409.14 ,21.5 ,32.0 ,8.1 ,1125.60 ,35.7 ,55.0 ,7.6 ,72.9 ,116.3 ,132.5 
216,13-Apr ,1410.25 ,21.3 ,32.0 ,9.4 ,1126.95 ,35.8 ,55.0 ,9.3 ,75.8 ,111.6 ,133.0 
217,12-Apr ,1411.35 ,21.1 ,32.0 ,8.4 ,1128.30 ,36.5 ,55.0 ,14.2 ,80.2 ,111.9 ,132.3 
218,11-Apr ,1412.47 ,21.6 ,32.0 ,7.8 ,1129.60 ,34.2 ,55.0 ,12.5 ,76.1 ,109.7 ,127.1 
219,10-Apr ,1413.54 ,22.9 ,35.0 ,10.6 ,1130.90 ,40.4 ,45.0 ,15.6 ,89.5 ,106.1 ,123.2 
220,9-Apr ,1414.78 ,27.6 ,35.0 ,13.1 ,1131.20 ,46.7 ,45.0 ,12.5 ,99.9 ,108.9 ,126.0 
221,8-Apr ,1415.57 ,28.7 ,40.0 ,11.7 ,1131.10 ,52.0 ,45.0 ,12.5 ,104.9 ,109.4 ,136.0 
222,7-Apr ,1416.73 ,24.4 ,40.0 ,11.8 ,1130.65 ,35.6 ,45.0 ,9.3 ,81.1 ,110.9 ,146.3 
223,6-Apr ,1418.30 ,23.3 ,35.0 ,9.9 ,1131.25 ,35.8 ,40.0 ,12.5 ,81.5 ,114.2 ,136.3 
224,5-Apr ,1419.50 ,23.1 ,22.3 ,9.7 ,1131.50 ,41.7 ,15.0 ,11.0 ,85.5 ,125.9 ,146.7 
225,4-Apr ,1419.50 ,22.1 ,21.3 ,12.8 ,1129.90 ,40.2 ,15.0 ,12.5 ,87.6 ,140.6 ,157.5 
226,3-Apr ,1419.50 ,23.9 ,23.5 ,16.8 ,1128.15 ,42.4 ,15.0 ,10.5 ,93.6 ,146.4 ,132.0 
227,2-Apr ,1419.50 ,23.7 ,23.3 ,20.1 ,1126.25 ,50.1 ,15.0 ,14.3 ,108.2 ,159.6 ,119.6 
228,1-Apr ,1419.50 ,28.4 ,35.7 ,26.9 ,1124.20 ,52.9 ,15.0 ,17.5 ,125.7 ,140.5 ,115.3 
229,31-Mar ,1420.23 ,34.0 ,33.6 ,29.3 ,1121.80 ,61.0 ,18.0 ,17.3 ,141.6 ,141.9 ,125.6 
230,30-Mar ,1420.23 ,31.4 ,31.0 ,27.0 ,1118.40 ,43.9 ,18.0 ,17.3 ,119.6 ,164.7 ,134.7 
231,29-Mar ,1420.23 ,21.9 ,18.8 ,26.5 ,1116.00 ,38.5 ,18.0 ,9.3 ,96.2 ,223.0 ,114.9 
232,28-Mar ,1419.98 ,21.4 ,10.0 ,26.7 ,1114.10 ,40.9 ,18.0 ,12.3 ,101.3 ,249.1 ,117.7 
233,27-Mar ,1418.93 ,22.5 ,5.0 ,27.4 ,1111.90 ,45.6 ,18.0 ,20.5 ,116.0 ,112.2 ,132.2 
234,26-Mar ,1417.32 ,25.0 ,5.0 ,34.7 ,1109.00 ,47.4 ,18.0 ,17.3 ,124.4 ,112.7 ,113.6 
235,25-Mar ,1415.47 ,26.0 ,5.0 ,55.1 ,1105.30 ,64.3 ,22.0 ,26.8 ,172.2 ,99.3 ,109.5 
236,24-Mar ,1412.57 ,38.6 ,10.0 ,56.5 ,1099.95 ,51.8 ,26.0 ,17.7 ,164.6 ,84.9 ,93.8 
237,23-Mar ,1409.89 ,22.9 ,15.0 ,18.1 ,1095.85 ,36.8 ,39.1 ,7.7 ,85.5 ,84.5 ,85.0 
238,22-Mar ,1409.18 ,20.5 ,12.0 ,9.0 ,1096.25 ,28.9 ,40.0 ,6.8 ,65.2 ,77.4 ,89.4 
239,21-Mar ,1408.41 ,17.8 ,12.0 ,8.1 ,1098.00 ,29.6 ,40.0 ,6.8 ,62.3 ,74.6 ,94.6 
240,20-Mar ,1407.90 ,18.3 ,12.0 ,9.0 ,1099.65 ,27.3 ,40.0 ,6.8 ,61.4 ,74.0 ,95.3 
241,19-Mar ,1407.34 ,19.0 ,12.0 ,10.6 ,1101.30 ,27.1 ,40.0 ,6.8 ,63.5 ,81.6 ,99.9 
242,18-Mar ,1406.72 ,19.9 ,12.0 ,13.4 ,1102.90 ,26.8 ,40.0 ,7.3 ,67.4 ,73.8 ,89.1 
243,17-Mar ,1406.02 ,20.8 ,12.0 ,16.1 ,1104.50 ,26.4 ,40.0 ,8.2 ,71.5 ,74.7 ,91.0 
244,16-Mar ,1405.23 ,23.9 ,12.0 ,12.9 ,1106.00 ,27.3 ,40.0 ,8.2 ,72.3 ,78.6 ,86.1 
245,15-Mar ,1404.12 ,24.4 ,15.0 ,9.1 ,1107.40 ,30.2 ,40.0 ,8.2 ,71.9 ,88.4 ,84.0 
246,14-Mar ,1403.27 ,22.9 ,17.0 ,10.1 ,1108.45 ,35.0 ,45.0 ,7.9 ,75.9 ,87.1 ,88.0 
247,13-Mar ,1402.76 ,21.0 ,22.0 ,3.2 ,1109.60 ,29.5 ,50.0 ,7.1 ,60.8 ,115.5 ,89.4 
248,12-Mar ,1402.94 ,17.3 ,24.0 ,2.9 ,1111.50 ,18.2 ,50.0 ,7.3 ,45.7 ,75.9 ,87.1 
249,11-Mar ,1403.68 ,17.5 ,24.0 ,2.8 ,1114.40 ,22.1 ,50.0 ,7.3 ,49.7 ,82.5 ,73.3 
250,10-Mar ,1404.40 ,16.2 ,24.0 ,2.6 ,1117.05 ,19.7 ,50.0 ,6.7 ,45.2 ,92.0 ,69.8 
251,9-Mar ,1405.25 ,16.0 ,24.0 ,2.7 ,1119.70 ,16.6 ,50.0 ,7.1 ,42.4 ,137.2 ,74.3 
252,8-Mar ,1406.13 ,17.3 ,24.0 ,1.9 ,1122.10 ,16.5 ,50.0 ,7.4 ,43.1 ,117.4 ,71.5 
253,7-Mar ,1406.87 ,16.2 ,24.0 ,3.5 ,1124.45 ,16.5 ,50.0 ,11.6 ,47.8 ,91.5 ,71.4 
254,6-Mar ,1407.71 ,15.6 ,24.0 ,3.3 ,1126.80 ,18.6 ,50.0 ,8.2 ,45.7 ,73.1 ,72.6 
255,5-Mar ,1408.59 ,15.1 ,24.0 ,3.6 ,1129.00 ,19.8 ,50.0 ,6.5 ,45.0 ,67.6 ,72.3 
256,4-Mar ,1409.52 ,16.8 ,24.0 ,4.1 ,1130.95 ,17.4 ,50.0 ,6.5 ,44.8 ,74.5 ,75.2 
257,3-Mar ,1410.27 ,17.8 ,24.0 ,4.6 ,1132.90 ,19.9 ,50.0 ,8.2 ,50.5 ,70.7 ,72.8 
258,2-Mar ,1410.93 ,18.5 ,24.0 ,6.6 ,1134.70 ,22.4 ,50.0 ,8.1 ,55.6 ,78.7 ,63.5 
259,1-Mar ,1411.52 ,21.3 ,27.0 ,7.3 ,1136.35 ,30.8 ,50.0 ,9.7 ,69.1 ,85.8 ,69.3 
260,28-Feb ,1412.10 ,27.4 ,27.0 ,6.4 ,1137.50 ,21.6 ,50.0 ,9.7 ,65.1 ,62.0 ,66.4 
261,27-Feb ,1412.10 ,20.3 ,27.0 ,5.2 ,1139.20 ,14.9 ,50.0 ,8.2 ,48.6 ,56.2 ,67.8 
262,26-Feb ,1412.80 ,18.5 ,27.0 ,4.8 ,1141.15 ,11.3 ,50.0 ,8.2 ,42.8 ,59.2 ,72.7 
263,25-Feb ,1413.67 ,19.7 ,30.0 ,4.3 ,1143.20 ,13.2 ,50.0 ,6.6  ,43.8 ,60.3 ,64.3 
264,24-Feb ,1414.71 ,18.5 ,35.0 ,4.1 ,1145.15 ,11.6 ,55.0 ,6.6 ,40.8 ,57.7 ,69.1 
265,23-Feb ,1416.35 ,18.1 ,40.0 ,4.0 ,1147.45 ,12.5 ,55.0 ,8.2 ,42.8 ,50.3 ,67.2 
266,22-Feb ,1418.50 ,18.7 ,45.0 ,3.7 ,1149.70 ,9.7 ,60.0 ,8.2 ,40.3 ,51.7 ,71.3 
267,21-Feb ,1421.05 ,19.2 ,47.0 ,3.9 ,1152.10 ,9.0 ,60.0 ,6.6 ,38.7 ,56.2 ,65.5 
268,20-Feb ,1423.69 ,20.6 ,47.0 ,4.4 ,1154.50 ,9.0 ,60.0 ,6.6 ,40.6 ,54.2 ,61.5 
269,19-Feb ,1426.15 ,21.8 ,55.0 ,4.7 ,1156.90 ,9.3 ,55.0 ,8.2 ,44.0 ,60.0 ,55.8 
270,18-Feb ,1429.34 ,24.0 ,65.0 ,5.2 ,1159.05 ,8.9 ,55.0 ,8.2 ,46.3 ,57.3 ,56.1 
271,17-Feb ,1432.92 ,25.2 ,65.0 ,5.4 ,1161.10 ,8.8 ,50.0 ,7.7 ,47.1 ,54.3 ,58.4 
272,16-Feb ,1436.49 ,26.8 ,65.0 ,5.4 ,1162.85 ,10.0 ,50.0 ,6.1 ,48.3 ,55.6 ,59.8 
273,15-Feb ,1439.90 ,24.4 ,57.1 ,5.1 ,1164.55 ,8.8 ,30.0 ,7.7 ,46.0 ,60.4 ,66.1 
274,14-Feb ,1442.69 ,25.0 ,57.0 ,4.9 ,1165.45 ,8.8 ,30.0 ,7.7 ,46.4 ,51.6 ,59.0 
275,13-Feb ,1445.41 ,26.0 ,55.0 ,5.3 ,1166.35 ,8.8 ,30.0 ,7.7 ,47.8 ,50.8 ,54.2 
276,12-Feb ,1447.88 ,23.9 ,55.0 ,5.7 ,1167.25 ,8.8 ,30.0 ,7.1 ,45.5 ,46.4 ,52.3 
277,11-Feb ,1450.31 ,10.6 ,45.0 ,5.3 ,1168.15 ,7.7 ,30.0 ,10.0 ,33.6 ,49.9 ,51.6 
278,10-Feb ,1452.04 ,11.6 ,45.0 ,6.2 ,1169.10 ,7.4 ,25.0 ,7.3 ,32.5 ,48.0 ,52.7 
279,9-Feb ,1453.72 ,12.2 ,45.0 ,7.2 ,1169.85 ,7.3 ,25.0 ,7.0 ,33.7 ,48.3 ,58.5 
280,8-Feb ,1455.37 ,11.7 ,50.0 ,6.9 ,1170.55 ,7.0 ,25.0 ,7.5 ,33.1 ,51.2 ,70.1 
281,7-Feb ,1457.30 ,12.3 ,50.0 ,6.7 ,1171.25 ,8.7 ,24.2 ,7.5 ,35.2 ,45.6 ,57.2 
282,6-Feb ,1459.20 ,11.5 ,50.0 ,7.7 ,1171.85 ,8.4 ,20.0 ,7.1 ,34.7 ,53.0 ,73.9 
283,5-Feb ,1461.10 ,12.1 ,46.7 ,7.5 ,1172.30 ,7.1 ,20.0 ,7.1 ,33.8 ,48.3 ,54.5 
284,4-Feb ,1462.78 ,14.6 ,35.0 ,7.0 ,1172.80 ,7.1 ,20.0 ,7.1 ,35.8 ,52.4 ,46.5 
285,3-Feb ,1463.77 ,15.5 ,35.0 ,6.8 ,1173.30 ,7.3 ,15.0 ,6.7 ,36.3 ,54.9 ,44.3 
286,2-Feb ,1464.72 ,15.3 ,35.0 ,7.2 ,1173.60 ,9.9 ,15.0 ,6.7 ,39.1 ,50.5 ,44.0 
287,1-Feb ,1465.68 ,15.5 ,35.0 ,7.8 ,1173.80 ,8.7 ,10.0 ,6.6 ,38.6 ,52.3 ,43.7 
288,31-Jan ,1466.63 ,15.3 ,35.0 ,7.4 ,1173.85 ,8.7 ,10.0 ,6.5 ,37.9 ,55.7 ,44.6 
289,30-Jan ,1467.59 ,15.0 ,35.0 ,7.1 ,1173.90 ,10.0 ,10.0 ,6.5 ,38.6 ,68.5 ,44.2 
290,29-Jan ,1468.56 ,14.8 ,28.0 ,7.6 ,1173.90 ,10.0 ,10.0 ,7.6 ,40.0 ,65.1 ,43.3 
291,28-Jan ,1469.20 ,15.7 ,28.0 ,7.4 ,1173.90 ,8.6 ,15.0 ,7.6 ,39.3 ,54.7 ,44.5 
292,27-Jan ,1469.80 ,15.5 ,28.0 ,7.9 ,1174.15 ,9.1 ,0.1 ,7.6 ,40.1 ,53.3 ,50.1 
293,26-Jan ,1470.40 ,16.0 ,23.0 ,8.2 ,1173.80 ,9.1 ,0.1 ,7.1 ,40.4 ,56.3 ,44.6 
294,25-Jan ,1470.73 ,15.0 ,15.0 ,8.0 ,1173.45 ,9.3 ,0.3 ,7.1 ,39.4 ,53.9 ,44.5 
295,24-Jan ,1470.73 ,15.7 ,15.7 ,7.4 ,1173.10 ,10.4 ,0.1 ,6.0 ,39.5 ,55.3 ,45.7 
296,23-Jan ,1470.73 ,15.3 ,15.3 ,7.8 ,1172.70 ,7.9 ,0.1 ,0.0 ,31.0 ,53.8 ,48.1 
297,22-Jan ,1470.73 ,15.5 ,15.5 ,8.0 ,1172.40 ,10.4 ,0.1 ,2.1 ,36.0 ,59.8 ,42.9 
298,21-Jan ,1470.73 ,16.2 ,16.2 ,7.8 ,1172.00 ,10.4 ,0.1 ,8.6 ,43.0 ,57.4 ,41.4 
299,20-Jan ,1470.73 ,15.2 ,15.2 ,7.7 ,1171.60 ,10.4 ,0.1 ,8.6 ,41.9 ,57.9 ,42.2 
300,19-Jan ,1470.73 ,16.1 ,16.1 ,8.0 ,1171.20 ,10.4 ,0.1 ,8.6 ,43.1 ,58.1 ,44.4 
301,18-Jan ,1470.73 ,15.3 ,15.3 ,8.1 ,1170.80 ,10.4 ,0.1 ,8.6 ,42.4 ,58.2 ,43.8 
302,17-Jan ,1470.73 ,16.6 ,16.6 ,7.6 ,1170.40 ,10.4 ,0.1 ,8.6 ,43.2 ,64.3 ,44.1 
303,16-Jan ,1470.73 ,15.9 ,15.9 ,8.2 ,1170.00 ,9.5 ,0.1 ,10.5 ,44.1 ,68.4 ,43.1 
304,15-Jan ,1470.73 ,15.1 ,15.1 ,7.4 ,1169.60 ,9.5 ,0.1 ,10.5 ,42.5 ,92.7 ,44.4 
305,14-Jan ,1470.73 ,14.3 ,14.3 ,7.6 ,1169.20 ,9.5 ,0.1 ,10.5 ,41.9 ,119.4 ,47.3 
306,13-Jan ,1470.73 ,19.3 ,19.3 ,8.3 ,1168.80 ,11.9 ,0.1 ,12.4 ,51.9 ,47.9 ,40.0 
307,12-Jan ,1470.73 ,16.9 ,16.9 ,8.8 ,1168.30 ,12.8 ,5.8 ,12.4 ,50.9 ,51.4 ,40.1 
308,11-Jan ,1470.73 ,18.5 ,35.0 ,8.3 ,1168.00 ,11.2 ,23.0 ,14.1 ,52.1 ,50.4 ,39.8 
309,10-Jan ,1471.54 ,15.9 ,13.6 ,7.6 ,1168.50 ,10.9 ,5.0 ,17.0 ,51.4 ,51.0 ,40.2 
310,9-Jan ,1471.46 ,17.8 ,17.2 ,7.7 ,1168.25 ,10.9 ,5.0 ,17.0 ,53.4 ,55.4 ,41.0 
311,8-Jan ,1471.46 ,16.9 ,23.0 ,6.5 ,1168.00 ,16.8 ,5.0 ,19.5 ,59.7 ,46.0 ,40.8 
312,7-Jan ,1471.78 ,18.4 ,23.0 ,7.0 ,1167.50 ,33.2 ,5.0 ,52.6 ,111.2 ,42.3 ,40.6 
313,6-Jan ,1472.03 ,17.8 ,23.0 ,6.7 ,1166.30 ,30.9 ,5.0 ,43.7 ,99.1 ,34.4 ,38.9 
314,5-Jan ,1472.31 ,17.5 ,20.0 ,6.4 ,1165.20 ,9.7 ,5.0 ,14.2 ,47.8 ,42.3 ,39.1 
315,4-Jan ,1472.46 ,16.4 ,15.7 ,6.9 ,1165.00 ,8.5 ,5.0 ,7.9 ,39.7 ,43.1 ,39.0 
316,3-Jan ,1472.46 ,16.7 ,16.1 ,6.5 ,1164.85 ,7.4 ,5.0 ,9.0 ,39.6 ,41.4 ,39.6 
317,2-Jan ,1472.46 ,18.3 ,17.7 ,6.9 ,1164.75 ,7.4 ,5.0 ,9.0 ,41.6 ,43.9 ,39.7 
318,1-Jan ,1472.46 ,17.4 ,16.8 ,7.5 ,1164.65 ,6.2 ,5.0 ,9.0 ,40.1 ,43.7 ,39.5 
319,31-Dec ,1472.46 ,17.5 ,16.9 ,8.5 ,1164.60 ,7.4 ,5.0 ,9.0 ,42.4 ,43.2 ,41.1 
320,30-Dec ,1472.46 ,18.5 ,18.0 ,8.4 ,1164.50 ,7.4 ,5.0 ,9.0 ,43.3 ,45.3 ,41.2 
321,29-Dec ,1472.46 ,18.3 ,17.8 ,8.2 ,1164.40 ,7.4 ,5.0 ,7.6 ,41.5 ,45.6 ,40.3 
322,28-Dec ,1472.46 ,17.9 ,17.3 ,8.0 ,1164.30 ,8.5 ,5.0 ,7.6 ,42.0 ,49.7 ,40.0 
323,27-Dec ,1472.46 ,19.8 ,45.0 ,6.2 ,1164.15 ,8.5 ,5.0 ,7.3 ,41.8 ,48.8 ,40.7 
324,26-Dec ,1473.66 ,19.6 ,45.0 ,7.8 ,1164.00 ,8.5 ,5.0 ,8.0 ,43.9 ,49.2 ,39.8 
325,25-Dec ,1474.87 ,18.5 ,45.0 ,6.8 ,1163.85 ,7.5 ,15.7 ,7.2 ,40.0 ,48.5 ,41.8 
326,24-Dec ,1476.13 ,18.8 ,39.5 ,6.4 ,1164.20 ,6.2 ,25.0 ,7.2 ,38.6 ,52.4 ,42.2 
327,23-Dec ,1477.12 ,17.6 ,13.0 ,6.2 ,1165.00 ,10.9 ,25.0 ,7.2 ,41.9 ,51.2 ,41.8 
328,22-Dec ,1476.92 ,18.2 ,13.0 ,6.0 ,1165.60 ,7.4 ,25.0 ,7.2 ,38.8 ,54.2 ,42.3 
329,21-Dec ,1476.69 ,18.9 ,13.0 ,5.5 ,1166.35 ,9.7 ,25.0 ,7.2 ,41.3 ,51.1 ,42.4 
330,20-Dec ,1476.43 ,19.3 ,13.0 ,6.7 ,1167.00 ,9.2 ,28.0 ,7.2 ,42.4 ,52.4 ,43.0 
331,19-Dec ,1476.15 ,19.6 ,15.0 ,8.1 ,1167.80 ,9.2 ,28.0 ,7.2 ,44.1 ,53.2 ,44.0 
332,18-Dec ,1475.95 ,20.3 ,20.0 ,9.1 ,1168.60 ,9.2 ,28.0 ,7.2 ,45.8 ,55.2 ,44.6 
333,17-Dec ,1475.95 ,21.6 ,20.0 ,9.0 ,1169.40 ,11.3 ,28.0 ,7.2 ,49.1 ,58.6 ,46.9 
334,16-Dec ,1475.89 ,21.0 ,20.0 ,9.4 ,1170.10 ,10.8 ,25.0 ,7.2 ,48.4 ,60.8 ,47.4 
335,15-Dec ,1475.87 ,23.5 ,25.0 ,10.1 ,1170.65 ,14.7 ,25.0 ,7.2 ,55.5 ,81.2 ,50.5 
336,14-Dec ,1475.97 ,24.7 ,25.0 ,10.3 ,1171.05 ,12.6 ,28.0 ,7.2 ,54.8 ,103.8 ,53.1 
337,13-Dec ,1476.01 ,25.4 ,25.0 ,10.3 ,1171.65 ,11.3 ,28.0 ,7.2 ,54.2 ,53.6 ,48.0 
338,12-Dec ,1476.02 ,23.0 ,25.0 ,10.4 ,1172.30 ,12.6 ,28.0 ,7.2 ,53.2 ,53.2 ,48.7 
339,11-Dec ,1476.14 ,24.2 ,30.0 ,10.1 ,1172.90 ,10.7 ,30.0 ,7.2 ,52.2 ,53.3 ,46.5 
340,10-Dec ,1476.44  ,24.2 ,30.0 ,10.2 ,1173.65 ,10.7 ,30.0 ,7.2 ,52.3 ,50.8 ,46.1 
341,9-Dec ,1476.74 ,23.1 ,30.0 ,9.8 ,1174.40 ,8.1 ,30.0 ,7.3 ,48.3 ,58.4 ,46.9 
342,8-Dec ,1477.09 ,23.1 ,35.0 ,9.7 ,1175.25 ,7.6 ,32.0 ,7.3 ,47.7 ,58.8 ,47.7 
343,7-Dec ,1477.67 ,22.7 ,35.0 ,10.2 ,1176.20 ,6.7 ,35.0 ,7.3 ,46.9 ,56.9 ,48.9 
344,6-Dec ,1478.27 ,23.0 ,40.0 ,9.9 ,1177.30 ,6.7 ,35.0 ,7.2 ,46.8 ,58.4 ,49.0 
345,5-Dec ,1479.09 ,23.6 ,40.0 ,9.9 ,1178.40 ,8.7 ,37.0 ,7.2 ,49.4 ,59.4 ,49.2 
346,4-Dec ,1479.88 ,23.5 ,40.0 ,10.2 ,1179.50 ,7.3  ,37.0 ,7.3 ,48.3 ,60.1 ,49.7 
347,3-Dec ,1480.65 ,23.9 ,40.0 ,10.3 ,1180.60 ,7.6 ,37.0 ,7.3 ,49.1 ,64.9 ,50.3 
348,2-Dec ,1481.39 ,23.4 ,40.0 ,10.2 ,1181.65 ,6.2 ,37.0 ,7.2 ,47.0 ,71.1 ,50.7 
349,1-Dec ,1482.15 ,24.8 ,48.0 ,10.3 ,1182.75 ,7.6 ,37.0 ,7.2 ,49.9 ,77.5 ,52.7 
350,30-Nov ,1483.20 ,24.8 ,75.0 ,11.0 ,1183.80 ,7.0 ,35.0 ,7.2 ,50.0 ,80.3 ,53.4 
351,29-Nov ,1485.46 ,26.2 ,75.0 ,11.3 ,1184.80 ,9.4 ,22.0 ,7.4 ,54.3 ,83.4 ,53.6 
352,28-Nov ,1487.66 ,27.7 ,75.0 ,11.8 ,1185.25 ,9.4 ,22.0 ,7.2 ,56.1 ,69.7 ,52.5 
353,27-Nov ,1489.79 ,27.4 ,75.0 ,11.2 ,1185.70 ,12.2 ,22.0 ,7.2 ,58.0 ,69.9 ,53.0 
354,26-Nov ,1491.86 ,28.0 ,75.0 ,10.9 ,1186.05 ,10.8 ,22.0 ,7.2 ,56.9 ,69.5 ,53.8 
